dataSet,Input,instructionCount,ilp32,ilp256,ilp2048,ilp65536,memops,ctrlops,intops,flops,coldref,coldref fraction,reuseDist2,resuseDist2 fraction,sfp,dfp,noconflict,broadCast,coalesced,shMemBw,gMemBw,blocks,pages,lipRate,mulf,divf,specialFn,lbdiv16,lbdiv32,lbdiv64,lbdiv128,lbdiv256,lbdiv512,lbdiv1024,probsize,Class,CPU Time,GPU Time,Ratio
MVT_8192: 51-63,8192,26233453,6.498181483,13.01197782,13.07870095,15.97630611,0.8204238687,0.0513878977,0.8460864454,0.2563139515,21118,0.0009812034,13452294,0.6250325066,0.4,0,0.0671710834,0.8991662767,0.9755253307,0.0671710834,0.9770229287,923.5582915,29417.35143,0.4764885073,0.2,0,0,0,0,0,0,0,0,0,74,Y,11.144549,3.324654,3.3520928794
MVT_16384: 51-63,16384,104658385,6.499089253,13.00599512,13.03929062,14.3380862,0.8204682788,0.0513350364,0.8461201174,0.2563620679,84054,0.0009788645,53669288,0.6250143809,0.4,0,0.0510821299,0.9243109173,0.9821298556,0.0510821299,0.9829845832,925.7803819,29588.01141,0.4882250146,0.2,0,0,0,0,0,0,0,0,0,148,Y,5.509123,1.76647,3.1187186876
MVT_20000: 51-63,20000,156024013,6.157180677,13.00490983,13.03216303,14.0761383,0.8204763391,0.0513254457,0.8461262242,0.2563707934,125254,0.0009784398,80010162,0.6250109763,0.4,0,0.0514492348,0.9281022745,0.9824875797,0.0514492348,0.9831623459,926.1979977,29617.05489,0.4645468177,0.2,0,0,0,0,0,0,0,0,0,181,Y,1.16542,0.658309,1.7703236626
syrk_m_2048: 59-70,2048,23223871910,6.749968298,9.031182505,9.332882818,14.10043375,0.6666606319,0.0741196312,0.6666606407,0.185172444,144195,9.313453793E-06,8601262697,0.5555495176,0.5999218979,0,0.0626150055,0.9373849945,1,0.0626150055,1,95436.84975,3052010.767,0.5513726711,0.3999804745,0,0,0.0001425072,0.0002850143,0.0005700286,0.0011400573,0.0022801145,0.0045602291,0.0091204582,18,Y,15.701999,14.617724,1.0741753641
syrk_m_1024: 59-70,1024,2996927698,6.999141279,9.398286187,10.0289984,15.75023334,0.6428396932,0.0715158081,0.6785627105,0.1785452163,36035,1.870447728E-05,1070278964,0.5555434594,0.5998438415,0,0.0627290183,0.9372709817,1,0.0627290183,1,47518.27462,1516670.528,0.4979263842,0.3999609604,0,0,0.0005521601,0.0011043203,0.0022086405,0.0044172811,0.0088345621,0.0176691243,0.0353382486,9,Y,1.954343,1.856112,1.0529229917
syrk_m_512: 61-73,512,361495150,6.749858999,9.125887092,10.49581491,18.33941451,0.6666424515,0.0742564375,0.666642587,0.1851340357,9011,3.739190131E-05,133876379,0.5555312786,0.5996878658,0,0.0629692594,0.9370307406,1,0.0629692594,1,23767.71535,754122.8275,0.4790339056,0.3999219664,0,0,0.0011557333,0.0023114667,0.0046229334,0.0092458668,0.0184917336,0.0369834671,0.0370557005,4,N,0.240601,0.352954,0.6816780657
spmv_76689: 115-135,76689,356362165,1.442209576,1.918572408,5.139659257,95.96029747,0.8901286645,0.0728889022,0.8563742478,0.2818713794,164580,0.0005188391,152781410,0.4816439821,0.2471369972,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1441.718586,45652.59981,0.0561638428,0.1235684986,0,0,0.0172159376,0.0318830055,0.0359064212,0.0359064212,0.0359064212,0.0359064212,0.0359064212,4,Y,1.110812,0.597094,1.8603636948
spmv_106689: 115-135,106689,432944805,1.448546746,2.019700236,5.475393601,104.6015143,0.889732764,0.0731007894,0.8562627308,0.2813137693,199094,0.0005168518,185623970,0.4818833718,0.2467150604,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1444.209366,45966.54363,0.0519543059,0.1233575302,0,0,0.0197140721,0.0326224351,0.0359343035,0.0359343035,0.0359343035,0.0359343035,0.0359343035,4,Y,1.676241,0.691481,2.4241316826
spmv_146689: 115-135,146689,526000165,1.455191458,2.13255884,5.859059908,114.5209935,0.8893213522,0.0733209789,0.8561468436,0.2807343131,241051,0.000515305,280083147,0.5987456586,0.2462748185,0,0.011896571,0.893458886,0.9053554571,0.011896571,0.9195534399,1445.294924,46214.06717,0.0478762574,0.1231374093,0,0,0.022251676,0.033237314,0.0359632777,0.0359632777,0.0359632777,0.0359632777,0.0359632777,4,Y,1.83819,0.83047,2.213433357
floyd:1600: 60-78,1600,16587054898,6.10506987,9.479592284,9.75892745,25.9814422,0.6887607668,0.1460277193,0.8539722806,0,78562,6.876617183E-06,5559146540,0.4865981342,0,0,0.0385966175,0.9611433783,0.9997399958,0.0385966175,0.9998468309,140127.0627,4399944.965,0.4574686858,0,0,0,0.0003304283,0.0007639943,0.0010135518,0.0019458988,0.003645705,0.0069405639,0.0130498393,20,Y,86.46407,2.496342,34.6363078456
floyd:1200: 60-78,1200,7048252032,6.275919201,10.24123452,10.64809591,32.32316185,0.6890525841,0.1454332932,0.8545667066,0,44969,9.259327368E-06,2359446249,0.4858210151,0,0,0.0389244671,0.9591195094,0.9980439765,0.0389244671,0.9989779877,104110.9494,3322757.477,0.3854298039,0,0,0,0.0004545377,0.0009077678,0.0016675272,0.0031246646,0.0058783043,0.0111622483,0.0208032199,14,Y,27.30954,1.206233,22.6403522371
floyd:800: 61-79,800,2083036448,6.523965573,11.4777639,12.17654731,41.57783346,0.6898370153,0.1451261241,0.854873875,0,20002,1.391970591E-05,699653245,0.4868996805,0,0,0.0474984699,0.9466052235,0.9941036934,0.0474984699,0.9969545083,69181.95295,2206981.536,0.2944355766,0,0,0,0.0008789093,0.0017712302,0.0035924512,0.0066690481,0.0124112006,0.0234693778,0.0347620037,8,Y,10.133949,0.562161,18.0267734688
MatrixVector_600: 28-38,600,1318176675,4.694959854,15.25668323,15.25679495,15.26080673,0.6393379476,0.0984270504,0.5574339502,0.2130488313,11291,1.339763995E-05,518652482,0.6154210621,0.2307396488,0.307652865,0.0338559273,0.9627636806,0.9993079197,0.0338559273,0.9996539599,55495.23946,1755328.415,0.307710843,0.2499479275,0,0.499895855,0.000437,0.0008739344,0.0017478229,0.0034956458,0.006991333,0.0139828315,0.0164135813,5,Y,32.485493,3.480683,9.3330800306
MatrixVector_500: 28-38,500,762900565,3.587982497,3.589676813,3.589715124,3.591073664,0.6393366742,0.0984403544,0.557445335,0.2130356267,7848,1.609019992E-05,300175201,0.6154280066,0.2307337333,0.3076449777,0.0335984191,0.9616692402,0.99902793,0.0335984191,0.999513965,46206.54911,1462400.016,0.9994319323,0.2499375156,0,0.4998750312,0.0005242941,0.0010485882,0.0020971763,0.0041943741,0.008388834,0.0164176048,0.0164176048,4,Y,18.845877,2.312996,8.147820835
waster_300000000: 31-40,300000000,24420000009,6.639440765,37.91176471,300.7666667,9023,0.6265356266,0.2493857494,0.7506142505,0.2481572481,3,1.960784313E-10,9150000003,0.5980392156,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.958089,314334.4711,0.0007358352,0,0,0,6.56E-08,0.000000131,0.000000263,0.000000418,0.000000418,0.000000418,0.000000418,2706416,Y,27.620293,19.325666,1.4292026469
waster_200000000: 31-40,200000000,16280000009,6.639440765,37.91176471,300.7666667,9023,0.6265356266,0.2493857494,0.7506142505,0.248157248,3,2.941176469E-10,6100000003,0.5980392156,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.937133,314307.6531,0.0007358352,0,0,0,9.84E-08,0.000000197,0.000000394,0.000000627,0.000000627,0.000000627,0.000000627,1804277,Y,18.488861,12.921632,1.4308456548
waster_100000000: 31-40,100000000,8140000009,6.639440765,37.91176471,300.7666667,9023,0.6265356267,0.2493857494,0.7506142504,0.2481572479,3,5.882352933E-10,3050000003,0.5980392155,0,0,0.0024600492,0.9975399508,1,0.0024600492,1,9823.874267,314259.3924,0.0007358352,0,0,0,0.000000197,0.000000394,0.000000788,0.00000125,0.00000125,0.00000125,0.00000125,902138,Y,10.475384,6.504646,1.6104464409
k-nearest_4096: 67-87 1st loop,4096,42617040,1.961662861,1.963827056,1.980878554,2.857887786,0.8235147256,0.0588396097,0.8039127072,0.3725292981,273,7.778717429E-06,15876912,0.4523883227,0.1578947368,0,0,0.8687547502,0.8687547502,0.0656226249,0.9343773751,509.3433464,16255.01945,0.9216628609,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,18,Y,0.267782,0.329749,0.8120782777
k-nearest_2048: 67-87 1st loop,2048,10654830,1.961787256,1.966117268,2.000600645,4.015974977,0.8234999526,0.058855749,0.8039037695,0.372509369,139,1.584180623E-05,5222809,0.5952426486,0.1578947368,0,0,0.8903311927,0.8903311927,0.0548344037,0.9451655963,506.63759,16031.3741,0.8433282629,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,9,Y,0.057638,0.162956,0.35370284
k-nearest_1024: 67-87 1st loop,1024,2611762,1.962036035,1.970716032,2.041237004,5.416599114,0.8234701324,0.0588882142,0.8038856527,0.3724688544,71,3.301238476E-05,1382601,0.6428585378,0.1578947368,0,0,0.9047704074,0.9047704074,0.0476147963,0.9523852037,500.7955379,15314.04673,0.6866666894,0.1111111111,0,0.0555555556,0,0,0,0,0,0,0,4,Y,0.016934,0.124418,0.1361057082
mri_q_4096: 109-126,4096,6861885858,3.368423956,4.571487194,4.571975539,4.589344504,0.7187498864,0.0625001976,0.6250000077,0.4374997122,41020,8.317146999E-06,2465990245,0.500000082,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,96709.5756,3077600.303,0.7361249625,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,37,Y,90.492458,42.838692,2.1124001172
mri_q_2048: 109-126,2048,3422554323,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498864,0.0625001978,0.6250000079,0.4374997112,40994,1.666449501E-05,1443889969,0.5869565592,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,48265.97709,1535037.805,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,18,Y,58.322646,21.415719,2.723356895
mri_q_:_1024 109-126,1024,1677722715,2.560001621,2.560036387,2.560309862,2.570036509,0.7187498865,0.0625001981,0.6250000084,0.4374997092,40981,3.398478901E-05,707789201,0.5869565569,0.3214285714,0.0357142857,0.1786797238,0.8213202762,1,0.1786797238,1,23667.29791,753053.729,0.9990251163,0.2083333333,0,0.0833333333,0,0,0,0,0,0,0,9,Y,29.71734,11.070811,2.6842965705
randomsky_30000000: 26-36,30000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,5,1.923076331E-07,12000001,0.461538358,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,Y,10.823398,0.467086,23.1721738609
randomsky_20000000: 26-36,20000000,42000012,4.238095238,11.60869565,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9696034,8686.767501,0.0079365079,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,Y,7.468459,0.39032,19.1341950195
randomsky_10000000: 26-36,10000000,42000012,4.204724409,14.83333333,534,534,0.6190476327,0.1190476327,0.5714285986,0.5238093741,4,1.538461065E-07,12000002,0.4615383964,0.0909090909,0.2272727273,0.1111124445,0.8888875555,1,0.1111124445,1,271.9739545,8686.767501,0.0078740157,0,0.1333333333,0.2,0,0,0,0,0,0,0,78651,Y,3.575326,0.205593,17.3903099814
atax_32768: 49-63,32768,4938068783,5.749985955,7.667745243,7.677715107,8.048079145,0.782606792,0.086958743,0.8260851678,0.2173892271,3356780,0.0008686046,2361681505,0.6111116751,0.3999987793,0,0.185520905,0.814479095,1,0.185520905,1,1023.350111,32745.44766,0.7411370637,0.1999993897,0,0,0.000000648,0.0000013,0.00000259,0.00000518,0.0000104,0.0000207,0.000041475,297,Y,43.58442,42.563167,1.0239938208
atax_16384: 49-63,16384,1234532765,5.749971911,7.668824087,7.688795076,8.469414149,0.7826048886,0.0869609645,0.8260833782,0.2173871489,839735,0.0008691547,590426929,0.6111122367,0.3999975586,0,0.187436997,0.812563003,1,0.187436997,1,1022.698623,32722.30333,0.7322744593,0.1999987793,0,0,0.00000259,0.00000518,0.0000104,0.0000207,0.0000415,0.000083,0.0001659028,148,Y,6.943578,6.684152,1.0388121036
atax_8192: 49-63,8192,308640980,5.749943824,7.670982582,7.71105014,9.459855047,0.7826010823,0.0869654088,0.8260797967,0.2173829898,210206,0.0008702641,147610008,0.6111133488,0.3999951172,0,0.1874449974,0.8125550026,1,0.1874449974,1,1021.395737,32669.27739,0.7145502462,0.1999975586,0,0,0.0000104,0.0000207,0.000041474,0.000083,0.0001659088,0.0003318176,0.0006636351,74,Y,1.508198,1.472688,1.0241123714
syr2k_1024: 54-65,1024,5028127852,6.714552629,11.75544765,11.78282115,12.84588177,0.808454449,0.0426257471,0.7872039543,0.2127128728,68806,1.692639391E-05,1283770777,0.3158098112,0.6,0,0.0571282265,0.9428717735,1,0.0571282265,1,54412.97228,1737326.669,0.5592090746,0.4,0,0,0,0,0,0,0,0,0,9,Y,5.980136,4.136297,1.445770456
syr2k_512: 54-65,512,616346160,6.714815267,11.76091109,11.81590249,14.16624099,0.8083981703,0.0426984116,0.7871738115,0.2126597171,17190,3.450053742E-05,288486600,0.5789960872,0.6,0,0.0571241129,0.9428758871,1,0.0571241129,1,26696.15469,846642.441,0.5469597082,0.4,0,0,0,0,0,0,0,0,0,4,Y,0.923785,0.584735,1.57983531
v_smul_200000: 23-31,200000,68000220010,5.666609092,5.667001483,5.67000589,5.777944026,0.8235285121,0.1176478547,0.8823521453,0,12502,2.232495216E-07,36000080001,0.6428571938,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,2559731.229,81632789.12,0.9951859813,0,0,0,0,0,0,0,0,0,0,1818,Y,90.566129,58.273253,1.5541629193
v_smul_100000: 23-31,100000,17000110010,5.666551519,5.667336335,5.673349018,5.89367813,0.8235276125,0.1176486506,0.8823513493,0,6253,4.466409427E-07,9000040001,0.6428572446,0,0,0.3333373335,0.6666626665,1,0.3333373335,1,1279731.258,40678101.71,0.990372107,0,0,0,0,0,0,0,0,0,0,909,Y,23.889988,15.040647,1.5883617241
v_smul_50000: 23-31,50000,4250055010,5.666632122,5.668143589,5.680150536,6.139793497,0.8235258131,0.1176502424,0.8823497572,0,3129,0.000000894,1500020000,0.4285734684,0,0,0.3332306634,0.6666653333,0.9998959967,0.3332306634,0.9999479983,639663.1136,20134362.44,0.9807604897,0,0,0,0,0,0,0,0,0,0,454,Y,5.961254,5.994561,0.9944437966
